CustomerID,CustomerName,Email,Phone,LoyaltyPoints,SignupDate
1,Customer 1,customer1@example.com,+1-555-8533,415,2022-01-01
2,Customer 2,customer2@example.com,+1-555-5616,962,2022-01-02
3,Customer 3,customer3@example.com,+1-555-2140,514,2022-01-03
4,Customer 4,customer4@example.com,+1-555-6730,213,2022-01-04
5,Customer 5,customer5@example.com,+1-555-8465,853,2022-01-05
6,Customer 6,customer6@example.com,+1-555-5471,73,2022-01-06
7,Customer 7,customer7@example.com,+1-555-4339,562,2022-01-07
8,Customer 8,customer8@example.com,+1-555-1548,578,2022-01-08
9,Customer 9,customer9@example.com,+1-555-8675,508,2022-01-09
10,Customer 10,customer10@example.com,+1-555-9264,331,2022-01-10
11,Customer 11,customer11@example.com,+1-555-1198,92,2022-01-11
12,Customer 12,customer12@example.com,+1-555-1571,687,2022-01-12
13,Customer 13,customer13@example.com,+1-555-1790,656,2022-01-13
14,Customer 14,customer14@example.com,+1-555-2174,518,2022-01-14
15,Customer 15,customer15@example.com,+1-555-1178,268,2022-01-15
16,Customer 16,customer16@example.com,+1-555-3244,375,2022-01-16
17,Customer 17,customer17@example.com,+1-555-5086,833,2022-01-17
18,Customer 18,customer18@example.com,+1-555-1734,3,2022-01-18
19,Customer 19,customer19@example.com,+1-555-7232,137,2022-01-19
20,Customer 20,customer20@example.com,+1-555-1798,230,2022-01-20
21,Customer 21,customer21@example.com,+1-555-8601,599,2022-01-21
22,Customer 22,customer22@example.com,+1-555-9979,528,2022-01-22
23,Customer 23,customer23@example.com,+1-555-3795,51,2022-01-23
24,Customer 24,customer24@example.com,+1-555-5588,645,2022-01-24
25,Customer 25,customer25@example.com,+1-555-8297,722,2022-01-25
26,Customer 26,customer26@example.com,+1-555-4084,324,2022-01-26
27,Customer 27,customer27@example.com,+1-555-1731,991,2022-01-27
28,Customer 28,customer28@example.com,+1-555-2129,969,2022-01-28
29,Customer 29,customer29@example.com,+1-555-2605,904,2022-01-29
30,Customer 30,customer30@example.com,+1-555-3933,730,2022-01-30
31,Customer 31,customer31@example.com,+1-555-9516,716,2022-01-31
32,Customer 32,customer32@example.com,+1-555-6074,722,2022-02-01
33,Customer 33,customer33@example.com,+1-555-8099,276,2022-02-02
34,Customer 34,customer34@example.com,+1-555-2490,535,2022-02-03
35,Customer 35,customer35@example.com,+1-555-1893,485,2022-02-04
36,Customer 36,customer36@example.com,+1-555-2390,515,2022-02-05
37,Customer 37,customer37@example.com,+1-555-4389,151,2022-02-06
38,Customer 38,customer38@example.com,+1-555-5239,954,2022-02-07
39,Customer 39,customer39@example.com,+1-555-5479,482,2022-02-08
40,Customer 40,customer40@example.com,+1-555-3263,258,2022-02-09
41,Customer 41,customer41@example.com,+1-555-4432,323,2022-02-10
42,Customer 42,customer42@example.com,+1-555-3371,868,2022-02-11
43,Customer 43,customer43@example.com,+1-555-5312,167,2022-02-12
44,Customer 44,customer44@example.com,+1-555-2515,687,2022-02-13
45,Customer 45,customer45@example.com,+1-555-7326,309,2022-02-14
46,Customer 46,customer46@example.com,+1-555-8088,802,2022-02-15
47,Customer 47,customer47@example.com,+1-555-6586,478,2022-02-16
48,Customer 48,customer48@example.com,+1-555-3917,55,2022-02-17
49,Customer 49,customer49@example.com,+1-555-6731,619,2022-02-18
50,Customer 50,customer50@example.com,+1-555-8686,472,2022-02-19
51,Customer 51,customer51@example.com,+1-555-2167,295,2022-02-20
52,Customer 52,customer52@example.com,+1-555-9302,460,2022-02-21
53,Customer 53,customer53@example.com,+1-555-6109,323,2022-02-22
54,Customer 54,customer54@example.com,+1-555-5327,813,2022-02-23
55,Customer 55,customer55@example.com,+1-555-6810,845,2022-02-24
56,Customer 56,customer56@example.com,+1-555-4655,140,2022-02-25
57,Customer 57,customer57@example.com,+1-555-4793,666,2022-02-26
58,Customer 58,customer58@example.com,+1-555-7738,261,2022-02-27
59,Customer 59,customer59@example.com,+1-555-2577,784,2022-02-28
60,Customer 60,customer60@example.com,+1-555-3220,419,2022-03-01
61,Customer 61,customer61@example.com,+1-555-2030,743,2022-03-02
62,Customer 62,customer62@example.com,+1-555-7691,240,2022-03-03
63,Customer 63,customer63@example.com,+1-555-4992,354,2022-03-04
64,Customer 64,customer64@example.com,+1-555-1913,848,2022-03-05
65,Customer 65,customer65@example.com,+1-555-7358,769,2022-03-06
66,Customer 66,customer66@example.com,+1-555-3181,760,2022-03-07
67,Customer 67,customer67@example.com,+1-555-4197,588,2022-03-08
68,Customer 68,customer68@example.com,+1-555-7040,179,2022-03-09
69,Customer 69,customer69@example.com,+1-555-2462,65,2022-03-10
70,Customer 70,customer70@example.com,+1-555-8037,819,2022-03-11
71,Customer 71,customer71@example.com,+1-555-5994,347,2022-03-12
72,Customer 72,customer72@example.com,+1-555-6308,170,2022-03-13
73,Customer 73,customer73@example.com,+1-555-7221,473,2022-03-14
74,Customer 74,customer74@example.com,+1-555-8090,533,2022-03-15
75,Customer 75,customer75@example.com,+1-555-8769,366,2022-03-16
76,Customer 76,customer76@example.com,+1-555-1687,106,2022-03-17
77,Customer 77,customer77@example.com,+1-555-5661,438,2022-03-18
78,Customer 78,customer78@example.com,+1-555-2894,834,2022-03-19
79,Customer 79,customer79@example.com,+1-555-8389,226,2022-03-20
80,Customer 80,customer80@example.com,+1-555-5922,443,2022-03-21
81,Customer 81,customer81@example.com,+1-555-7322,441,2022-03-22
82,Customer 82,customer82@example.com,+1-555-4183,395,2022-03-23
83,Customer 83,customer83@example.com,+1-555-4797,727,2022-03-24
84,Customer 84,customer84@example.com,+1-555-6178,580,2022-03-25
85,Customer 85,customer85@example.com,+1-555-4968,83,2022-03-26
86,Customer 86,customer86@example.com,+1-555-3716,614,2022-03-27
87,Customer 87,customer87@example.com,+1-555-1190,550,2022-03-28
88,Customer 88,customer88@example.com,+1-555-2335,12,2022-03-29
